x;new_x;absoluteError;relativeError;standart;converted
-47,7;0,57611019615307;1,4432899320127E-15;2,64937533739724E-15;0,544766123410281;0,544766123410283
-47,6;0,476110196153069;1,83186799063151E-15;3,99687159567206E-15;0,458325454491734;0,458325454491736
-47,5;0,376110196153068;2,27595720048157E-15;6,19636279691169E-15;0,367305349134158;0,367305349134161
-47,4;0,276110196153067;2,66453525910038E-15;9,77397727273982E-15;0,27261525014304;0,272615250143042
-47,3;0,176110196153066;3,10862446895044E-15;1,77431617619096E-14;0,175201269687112;0,175201269687115
-47,2;0,0761101961530651;3,49720252756924E-15;4,59935908464975E-14;0,0760367360583111;0,0760367360583146
-47,1;0,0238898038469359;3,85802501057242E-15;1,61507898383046E-13;-0,0238875315027815;-0,0238875315027776
-47;0,123889803846937;4,17721413015215E-15;3,38035815341756E-14;-0,123573122745266;-0,123573122745262
-46,9;0,223889803846938;4,44089209850063E-15;2,00018550004307E-14;-0,222024012193124;-0,222024012193119
-46,8;0,323889803846945;6,10622663543836E-16;1,91864939833743E-15;-0,318256511102529;-0,318256511102529
-46,7;0,423889803846946;3,33066907387547E-16;8,09772773083398E-16;-0,411309096154612;-0,411309096154613
-46,6;0,523889803846947;1,11022302462516E-16;2,2193274341928E-16;-0,50025201667863;-0,50025201667863
-46,5;0,623889803846948;3,33066907387547E-16;5,70128131991779E-16;-0,584196584413326;-0,584196584413326
-46,3999999999999;0,723889803846949;5,55111512312578E-16;8,38152068992515E-16;-0,66230405298628;-0,66230405298628
-46,2999999999999;0,746906522947947;7,7715611723761E-16;1,05909304102012E-15;-0,733793998390408;-0,733793998390407
-46,1999999999999;0,646906522947945;8,88178419700125E-16;1,1130723273823E-15;-0,797952116722665;-0,797952116722664
-46,0999999999999;0,546906522947944;8,88178419700125E-16;1,03985431380367E-15;-0,85413736127253;-0,854137361272529
-45,9999999999999;0,446906522947943;8,88178419700125E-16;9,84907846742318E-16;-0,901788347648834;-0,901788347648833
-45,8999999999999;0,346906522947942;7,7715611723761E-16;8,26384711506793E-16;-0,940428962947025;-0,940428962947024
-45,7999999999999;0,246906522947941;6,66133814775094E-16;6,86967390386866E-16;-0,969673122911935;-0,969673122911934
-45,6999999999999;0,14690652294794;4,44089209850063E-16;4,4892474457172E-16;-0,989228629564026;-0,989228629564026
