x;g_ginvx;absoluteError;relativeError
0,00800000000000044;0,00800000000000036;7,45931094670027E-17;9,32413868337492E-15
0,00900000000000044;0,00900000000000048;3,81639164714898E-17;4,24043516349864E-15
0,0100000000000004;0,0100000000000005;9,71445146547012E-17;9,7144514654696E-15
0,0110000000000004;0,0110000000000005;8,67361737988404E-17;7,88510670898511E-15
0,0120000000000004;0,0120000000000005;1,05818132034585E-16;8,81817766954837E-15
0,0130000000000004;0,0130000000000005;8,67361737988404E-18;6,67201336914133E-16
0,0140000000000004;0,0140000000000004;5,3776427755281E-17;3,84117341109139E-15
0,0150000000000004;0,0150000000000004;3,46944695195361E-18;2,31296463463567E-16
0,0160000000000004;0,0160000000000005;5,55111512312578E-17;3,46944695195351E-15
0,0170000000000004;0,0170000000000005;8,67361737988404E-17;5,10212787051986E-15
0,0180000000000004;0,0180000000000005;2,08166817117217E-17;1,15648231731784E-15
0,0190000000000004;0,0190000000000005;3,81639164714898E-17;2,00862718270994E-15
0,0200000000000004;0,0200000000000004;3,46944695195361E-17;1,73472347597677E-15
0,0210000000000004;0,0210000000000005;2,08166817117217E-17;9,9127055770101E-16
0,0220000000000005;0,0220000000000004;3,81639164714898E-17;1,73472347597677E-15
0,0230000000000005;0,0230000000000005;6,24500451351651E-17;2,71521935370277E-15
0,0240000000000005;0,0240000000000005;2,42861286636753E-17;1,01192202765312E-15
0,0250000000000005;0,0250000000000004;6,93889390390723E-17;2,77555756156285E-15
0,0260000000000005;0,0260000000000005;6,24500451351651E-17;2,40192481289092E-15
0,0270000000000005;0,0270000000000005;4,5102810375397E-17;1,67047445834801E-15
0,0280000000000005;0,0280000000000004;2,42861286636753E-17;8,6736173798839E-16
0,0290000000000005;0,0290000000000005;3,46944695195361E-17;1,19636101791502E-15
